Item,policy_cluster,inventory_model,SS,ROP,EOQ,s,S,production_level
300007,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300019,Dynamic,"(s,S)",3182.28,3328.96,1405.58,3328.96,4734.53,finished_products
300021,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300027,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300042,Dynamic,"(s,S)",940.42,983.8,764.44,983.8,1748.24,finished_products
300082,Dynamic,"(s,S)",845.04,890.38,781.49,890.38,1671.88,finished_products
300091,MTS,EOQ-ROP,550.06,750.03,1641.16,750.03,2391.19,finished_products
300092,Dynamic,"(s,S)",1312.85,1378.87,942.95,1378.87,2321.82,finished_products
300111,Dynamic,"(s,S)",522.65,547.93,583.5,547.93,1131.44,finished_products
300120,Dynamic,"(s,S)",1796.54,1921.72,1298.48,1921.72,3220.19,finished_products
300125,Dynamic,"(s,S)",573.52,609.66,697.7,609.66,1307.36,finished_products
300132,Dynamic,"(s,S)",596.31,625.32,625.12,625.32,1250.44,finished_products
300133,Dynamic,"(s,S)",277.37,290.09,413.81,290.09,703.9,finished_products
300157,Dynamic,"(s,S)",283.19,296.17,418.12,296.17,714.29,finished_products
300161,Dynamic,"(s,S)",1917.47,2092.3,1534.54,2092.3,3626.84,finished_products
300163,Dynamic,"(s,S)",240.45,251.48,385.3,251.48,636.78,finished_products
300170,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300188,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300189,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300194,MTS,EOQ-ROP,806.76,1067.74,1874.9,1067.74,2942.63,finished_products
300198,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300199,Dynamic,"(s,S)",1033.91,1084.84,828.23,1084.84,1913.07,finished_products
300200,Dynamic,"(s,S)",449.2,470.48,535.35,470.48,1005.82,finished_products
300203,Dynamic,"(s,S)",440.04,460.58,526.03,460.58,986.61,finished_products
300204,Dynamic,"(s,S)",415.34,435.34,519.04,435.34,954.38,finished_products
300206,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300208,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300212,Dynamic,"(s,S)",348.54,366.08,485.96,366.08,852.03,finished_products
300214,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300216,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300220,Dynamic,"(s,S)",718.16,751.09,665.96,751.09,1417.05,finished_products
300228,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300234,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300238,Dynamic,"(s,S)",429.26,451.43,546.47,451.43,997.9,finished_products
300240,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300241,Dynamic,"(s,S)",292.83,306.86,434.75,306.86,741.61,finished_products
300242,Dynamic,"(s,S)",325.47,340.39,448.22,340.39,788.61,finished_products
300243,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300245,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300254,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300255,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300258,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300261,Dynamic,"(s,S)",262.77,275.38,412.08,275.38,687.46,finished_products
300265,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300266,Dynamic,"(s,S)",669.78,705.95,698.01,705.95,1403.96,finished_products
300272,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300273,Dynamic,"(s,S)",434.69,454.64,518.35,454.64,972.99,finished_products
300274,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
300277,Dynamic,"(s,S)",303.39,317.66,438.53,317.66,756.19,finished_products
