Item,avg_monthly,std_monthly,CV,CV2,ADI,zero_ratio,D_annual,avg_order_size,trend_slope,n_clientes,n_pedidos,Classe,demand_class,commercial_class,policy_cluster
300007,50.71,243.19,4.7958,23.0,24.0,0.9583,608.5,1217.0,6.8787,1,1,30,lumpy,low_volume_few_clients,MTO
300019,574.46,1793.44,3.122,9.7466,8.0,0.875,6893.5,4595.67,-115.0743,6,7,30,lumpy,high_volume_many_clients,Dynamic
300021,8.79,42.16,4.7958,23.0,24.0,0.9583,105.5,211.0,-2.11,1,1,30,lumpy,low_volume_few_clients,MTO
300027,28.58,137.08,4.7958,23.0,24.0,0.9583,343.0,686.0,5.667,1,1,30,lumpy,low_volume_few_clients,MTO
300042,169.92,621.64,3.6585,13.3847,8.0,0.875,2039.0,1359.33,-27.6165,2,3,30,lumpy,low_volume_many_clients,Dynamic
300082,177.58,851.66,4.7958,23.0,24.0,0.9583,2131.0,4262.0,-38.9139,2,2,30,lumpy,low_volume_many_clients,Dynamic
300091,783.17,658.31,0.8406,0.7066,1.2632,0.2083,9398.0,989.26,-5.0078,26,45,30,erratic,high_volume_many_clients,MTS
300092,258.54,620.03,2.3982,5.7513,3.4286,0.7083,3102.5,886.43,-34.3952,7,11,30,lumpy,low_volume_many_clients,Dynamic
300111,99.0,414.97,4.1916,17.5694,12.0,0.9167,1188.0,1188.0,10.9096,2,2,30,lumpy,low_volume_many_clients,Dynamic
300120,490.25,713.32,1.455,2.1171,2.4,0.5833,5883.0,1176.6,-2.6009,12,20,30,lumpy,high_volume_many_clients,Dynamic
300125,141.54,235.9,1.6666,2.7776,3.0,0.6667,1698.5,424.62,9.3778,6,9,30,lumpy,low_volume_many_clients,Dynamic
300132,113.62,293.32,2.5815,6.6641,6.0,0.8333,1363.5,681.75,11.5361,2,4,30,lumpy,low_volume_many_clients,Dynamic
300133,49.79,166.12,3.3364,11.1313,12.0,0.9167,597.5,597.5,-2.3022,2,2,30,lumpy,low_volume_many_clients,Dynamic
300157,50.83,170.46,3.3532,11.2441,12.0,0.9167,610.0,610.0,-3.7113,2,2,30,lumpy,low_volume_many_clients,Dynamic
300161,684.71,704.14,1.0284,1.0576,1.5,0.3333,8216.5,1027.06,24.03,10,28,30,lumpy,high_volume_many_clients,Dynamic
300163,43.17,143.18,3.3169,11.0016,12.0,0.9167,518.0,518.0,4.0852,2,2,30,lumpy,low_volume_many_clients,Dynamic
300170,23.08,110.7,4.7958,23.0,24.0,0.9583,277.0,554.0,3.1313,1,1,30,lumpy,low_volume_few_clients,MTO
300188,25.96,124.49,4.7958,23.0,24.0,0.9583,311.5,623.0,4.6048,1,1,30,lumpy,low_volume_few_clients,MTO
300189,25.88,124.09,4.7958,23.0,24.0,0.9583,310.5,621.0,5.13,1,1,30,lumpy,low_volume_few_clients,MTO
300194,1022.12,965.96,0.9451,0.8931,1.2632,0.2083,12265.5,1291.11,-7.3543,25,51,30,erratic,high_volume_many_clients,MTS
300198,41.25,197.83,4.7958,23.0,24.0,0.9583,495.0,990.0,0.4304,1,1,30,lumpy,low_volume_few_clients,MTO
300199,199.46,500.08,2.5072,6.2859,6.0,0.8333,2393.5,1196.75,18.9691,2,5,30,lumpy,low_volume_many_clients,Dynamic
300200,83.33,231.54,2.7785,7.7198,8.0,0.875,1000.0,666.67,4.8609,3,3,30,lumpy,low_volume_many_clients,Dynamic
300203,80.46,235.28,2.9242,8.551,8.0,0.875,965.5,643.67,-4.0874,2,3,30,lumpy,low_volume_many_clients,Dynamic
300204,78.33,207.57,2.6499,7.0218,8.0,0.875,940.0,626.67,-11.4783,2,3,30,lumpy,low_volume_many_clients,Dynamic
300206,57.67,276.56,4.7958,23.0,24.0,0.9583,692.0,1384.0,-3.0087,1,1,30,lumpy,low_volume_few_clients,MTO
300208,146.33,491.01,3.3554,11.259,12.0,0.9167,1756.0,1756.0,19.8939,1,2,30,lumpy,low_volume_few_clients,MTO
300212,68.67,164.53,2.3961,5.7414,6.0,0.8333,824.0,412.0,-0.5783,2,4,30,lumpy,low_volume_many_clients,Dynamic
300214,23.12,110.9,4.7958,23.0,24.0,0.9583,277.5,555.0,-1.6891,1,1,30,lumpy,low_volume_few_clients,MTO
300216,20.62,98.91,4.7958,23.0,24.0,0.9583,247.5,495.0,-1.0761,1,1,30,lumpy,low_volume_few_clients,MTO
300220,128.96,425.72,3.3012,10.8979,8.0,0.875,1547.5,1031.67,-1.4648,3,3,30,lumpy,low_volume_many_clients,Dynamic
300228,13.75,65.94,4.7958,23.0,24.0,0.9583,165.0,330.0,2.7261,1,1,30,lumpy,low_volume_few_clients,MTO
300234,44.46,147.57,3.3193,11.0177,12.0,0.9167,533.5,533.5,-3.39,1,2,30,lumpy,low_volume_few_clients,MTO
300238,86.83,197.57,2.2753,5.1768,6.0,0.8333,1042.0,521.0,-8.9209,2,4,30,lumpy,low_volume_many_clients,Dynamic
300240,14.88,71.34,4.7958,23.0,24.0,0.9583,178.5,357.0,-3.57,1,1,30,lumpy,low_volume_few_clients,MTO
300241,54.96,147.55,2.6848,7.2083,8.0,0.875,659.5,439.67,0.0204,2,3,30,lumpy,low_volume_many_clients,Dynamic
300242,58.42,198.98,3.4062,11.6019,12.0,0.9167,701.0,701.0,0.2826,2,2,30,lumpy,low_volume_many_clients,Dynamic
300243,101.5,287.46,2.8321,8.021,8.0,0.875,1218.0,812.0,9.8991,1,3,30,lumpy,low_volume_few_clients,MTO
300245,12.62,60.55,4.7958,23.0,24.0,0.9583,151.5,303.0,-1.9761,1,1,30,lumpy,low_volume_few_clients,MTO
300254,42.04,139.44,3.3167,11.0003,12.0,0.9167,504.5,504.5,0.4213,1,2,30,lumpy,low_volume_few_clients,MTO
300255,16.58,79.53,4.7958,23.0,24.0,0.9583,199.0,398.0,2.9417,1,1,30,lumpy,low_volume_few_clients,MTO
300258,26.88,128.89,4.7958,23.0,24.0,0.9583,322.5,645.0,-6.45,1,1,30,lumpy,low_volume_few_clients,MTO
300261,49.38,132.12,2.6758,7.16,8.0,0.875,592.5,395.0,-0.5126,2,3,30,lumpy,low_volume_many_clients,Dynamic
300265,17.83,85.53,4.7958,23.0,24.0,0.9583,214.0,428.0,-3.9078,1,1,30,lumpy,low_volume_few_clients,MTO
300266,141.67,297.87,2.1026,4.421,3.4286,0.7083,1700.0,485.71,-14.9522,5,11,30,lumpy,low_volume_many_clients,Dynamic
300272,12.67,60.75,4.7958,23.0,24.0,0.9583,152.0,304.0,1.1896,1,1,30,lumpy,low_volume_few_clients,MTO
300273,78.12,273.43,3.4999,12.2494,12.0,0.9167,937.5,937.5,-6.7065,2,2,30,lumpy,low_volume_many_clients,Dynamic
300274,26.58,127.49,4.7958,23.0,24.0,0.9583,319.0,638.0,0.8322,1,1,30,lumpy,low_volume_few_clients,MTO
300277,55.92,158.7,2.8382,8.0555,8.0,0.875,671.0,447.33,6.893,3,3,30,lumpy,low_volume_many_clients,Dynamic
300284,22.33,107.11,4.7958,23.0,24.0,0.9583,268.0,536.0,3.9617,1,1,30,lumpy,low_volume_few_clients,MTO
300288,59.96,175.52,2.9274,8.5699,8.0,0.875,719.5,479.67,-9.5683,2,3,30,lumpy,low_volume_many_clients,Dynamic
300290,107.67,304.88,2.8317,8.0187,8.0,0.875,1292.0,861.33,-13.513,1,4,30,lumpy,low_volume_few_clients,MTO
300291,594.08,804.51,1.3542,1.8339,1.7143,0.4167,7129.0,1018.43,-18.9487,13,25,30,lumpy,high_volume_many_clients,Dynamic
300292,82.0,217.02,2.6466,7.0045,8.0,0.875,984.0,656.0,-5.0843,1,3,30,lumpy,low_volume_few_clients,MTO
300295,21.33,102.31,4.7958,23.0,24.0,0.9583,256.0,512.0,-3.3391,1,1,30,lumpy,low_volume_few_clients,MTO
300296,57.21,189.75,3.3168,11.0011,12.0,0.9167,686.5,686.5,-10.7735,2,2,30,lumpy,low_volume_many_clients,Dynamic
300297,38.5,128.75,3.344,11.1827,12.0,0.9167,462.0,462.0,-1.3487,1,2,30,lumpy,low_volume_few_clients,MTO
300306,24.25,116.3,4.7958,23.0,24.0,0.9583,291.0,582.0,2.2774,1,1,30,lumpy,low_volume_few_clients,MTO
300310,21.71,104.11,4.7958,23.0,24.0,0.9583,260.5,521.0,-5.21,1,1,30,lumpy,low_volume_few_clients,MTO
300312,20.12,96.52,4.7958,23.0,24.0,0.9583,241.5,483.0,-4.83,1,1,30,lumpy,low_volume_few_clients,MTO
300313,22.38,76.58,3.4226,11.7141,12.0,0.9167,268.5,268.5,3.0239,1,2,30,lumpy,low_volume_few_clients,MTO
300315,48.08,159.5,3.3171,11.0029,12.0,0.9167,577.0,577.0,-3.387,1,2,30,lumpy,low_volume_few_clients,MTO
300323,17.38,83.33,4.7958,23.0,24.0,0.9583,208.5,417.0,-3.8074,1,1,30,lumpy,low_volume_few_clients,MTO
300324,108.0,309.77,2.8682,8.2267,8.0,0.875,1296.0,864.0,-7.3148,2,3,30,lumpy,low_volume_many_clients,Dynamic
300337,23.75,113.9,4.7958,23.0,24.0,0.9583,285.0,570.0,-5.7,1,1,30,lumpy,low_volume_few_clients,MTO
300347,42.96,206.02,4.7958,23.0,24.0,0.9583,515.5,1031.0,1.3448,1,1,30,lumpy,low_volume_few_clients,MTO
300352,157.04,439.47,2.7984,7.8313,6.0,0.8333,1884.5,942.25,4.4996,4,4,30,lumpy,low_volume_many_clients,Dynamic
300355,12.04,57.75,4.7958,23.0,24.0,0.9583,144.5,289.0,-2.89,1,1,30,lumpy,low_volume_few_clients,MTO
300359,74.21,171.74,2.3142,5.3557,6.0,0.8333,890.5,445.25,2.6743,2,4,30,lumpy,low_volume_many_clients,Dynamic
300361,51.33,176.79,3.444,11.861,12.0,0.9167,616.0,616.0,-4.8496,2,2,30,lumpy,low_volume_many_clients,Dynamic
300362,19.88,95.32,4.7958,23.0,24.0,0.9583,238.5,477.0,-1.4517,1,1,30,lumpy,low_volume_few_clients,MTO
300369,26.33,87.42,3.3197,11.0203,12.0,0.9167,316.0,316.0,-3.9487,2,2,30,lumpy,low_volume_many_clients,Dynamic
300370,7.67,36.77,4.7958,23.0,24.0,0.9583,92.0,184.0,0.56,1,1,30,lumpy,low_volume_few_clients,MTO
300374,29.83,143.08,4.7958,23.0,24.0,0.9583,358.0,716.0,-7.16,1,1,30,lumpy,low_volume_few_clients,MTO
300376,68.46,182.23,2.662,7.0861,8.0,0.875,821.5,547.67,-4.5526,2,3,30,lumpy,low_volume_many_clients,Dynamic
300378,174.08,655.87,3.7676,14.1947,8.0,0.875,2089.0,1392.67,21.5922,3,6,30,lumpy,low_volume_many_clients,Dynamic
300380,20.38,97.72,4.7958,23.0,24.0,0.9583,244.5,489.0,0.2126,1,1,30,lumpy,low_volume_few_clients,MTO
300393,78.75,267.18,3.3928,11.511,12.0,0.9167,945.0,945.0,-1.4739,2,2,30,lumpy,low_volume_many_clients,Dynamic
300395,95.92,319.02,3.326,11.0624,12.0,0.9167,1151.0,1151.0,10.0183,1,2,30,lumpy,low_volume_few_clients,MTO
300400,1025.21,1335.38,1.3025,1.6966,1.6,0.375,12302.5,1640.33,15.4552,20,44,30,lumpy,high_volume_many_clients,Dynamic
300401,81.08,198.89,2.4529,6.0168,6.0,0.8333,973.0,486.5,1.9096,4,6,30,lumpy,low_volume_many_clients,Dynamic
300403,27.92,133.88,4.7958,23.0,24.0,0.9583,335.0,670.0,-6.1174,1,1,30,lumpy,low_volume_few_clients,MTO
300408,21.17,101.51,4.7958,23.0,24.0,0.9583,254.0,508.0,-3.313,1,1,30,lumpy,low_volume_few_clients,MTO
300414,54.5,261.37,4.7958,23.0,24.0,0.9583,654.0,1308.0,-5.1183,1,1,30,lumpy,low_volume_few_clients,MTO
300424,30.38,145.67,4.7958,23.0,24.0,0.9583,364.5,729.0,-7.29,1,1,30,lumpy,low_volume_few_clients,MTO
300428,43.54,148.08,3.4009,11.5662,12.0,0.9167,522.5,522.5,0.6109,2,2,30,lumpy,low_volume_many_clients,Dynamic
300430,47.75,159.69,3.3443,11.1842,12.0,0.9167,573.0,573.0,-9.7139,2,2,30,lumpy,low_volume_many_clients,Dynamic
300432,61.67,204.53,3.3166,11.0,12.0,0.9167,740.0,740.0,-9.0087,2,2,30,lumpy,low_volume_many_clients,Dynamic
300434,29.71,142.48,4.7958,23.0,24.0,0.9583,356.5,713.0,6.51,1,1,30,lumpy,low_volume_few_clients,MTO
