Item,Classe,demand_class,commercial_class,policy_cluster,production_level,inventory_model,SS,ROP,EOQ,s,S,avg_monthly,std_monthly,ADI,CV2,D_annual,n_clientes,n_pedidos
300007,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,50.71,243.19,24.0,23.0,608.5,1,1
300019,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",3182.28,3328.96,1405.58,3328.96,4734.53,574.46,1793.44,8.0,9.7466,6893.5,6,7
300021,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,8.79,42.16,24.0,23.0,105.5,1,1
300027,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,28.58,137.08,24.0,23.0,343.0,1,1
300042,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",940.42,983.8,764.44,983.8,1748.24,169.92,621.64,8.0,13.3847,2039.0,2,3
300082,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",845.04,890.38,781.49,890.38,1671.88,177.58,851.66,24.0,23.0,2131.0,2,2
300091,30,erratic,high_volume_many_clients,MTS,finished_products,EOQ-ROP,550.06,750.03,1641.16,750.03,2391.19,783.17,658.31,1.2632,0.7066,9398.0,26,45
300092,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",1312.85,1378.87,942.95,1378.87,2321.82,258.54,620.03,3.4286,5.7513,3102.5,7,11
300111,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",522.65,547.93,583.5,547.93,1131.44,99.0,414.97,12.0,17.5694,1188.0,2,2
300120,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",1796.54,1921.72,1298.48,1921.72,3220.19,490.25,713.32,2.4,2.1171,5883.0,12,20
300125,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",573.52,609.66,697.7,609.66,1307.36,141.54,235.9,3.0,2.7776,1698.5,6,9
